description,vector
"In an ancient civilization, a young scholar discovers a prophecy that foretells the end of the world. She embarks on a dangerous quest to prevent the prophecy from becoming reality.","[0.11397088319063187, 0.05338191241025925, -0.07678604871034622, 0.062090013176202774, 0.06243780255317688, -0.07724664360284805, -0.09581703692674637, 0.05800306051969528, -0.04176054894924164, 2.3062310218811035, -0.19528615474700928, -0.04448264464735985, -0.04681885614991188, 0.0420774444937706, -0.027927109971642494, -0.0828646719455719, -0.03613024204969406, 0.7928869724273682, -0.109639473259449, -0.0104542700573802, 0.05271373316645622, -0.0686129778623581, -0.10451684147119522, 0.11663363873958588, 0.11286979168653488, 0.0339270643889904, 0.01456313394010067, 0.07869146764278412, -0.11248788237571716, 0.13604427874088287, -0.0286630280315876, 0.047406479716300964, -0.04476742818951607, 0.05886625498533249, 0.20952633023262024, 0.0112532963976264, 0.033773668110370636, -0.05599832907319069, 0.011423394083976746, -0.09554030746221542, 0.10354305803775787, 0.09975966811180115, 0.05663982033729553, -0.12488386780023575, 0.04642033949494362, -0.08683610707521439, -0.06611742824316025, -0.02468922920525074, -0.05898717790842056, -0.05975112318992615, -0.01914750225841999, 0.11165012419223785, -0.11254418641328812, -0.030555352568626404, 0.041813891381025314, 0.0381200909614563, 0.09017676115036011, -0.004266978707164526, 0.07992187142372131, -0.09925659745931625, 0.016938354820013046, 0.0304240882396698, 0.07204361259937286, -0.09117748588323593, 0.027193758636713028, -0.07517074048519135, 0.0026855450123548508, 0.02805148810148239, -0.01714678667485714, 0.17064467072486877, -0.048032402992248535, -0.1472136378288269, -0.002438356401398778, -0.08124122023582458, -0.015931693837046623, -0.01530113909393549, -0.0801868811249733, -0.1043865755200386, -0.11899382621049881, 0.16606758534908295, -0.013041001744568348, 0.06745749711990356, -0.11946000158786774, 0.08199142664670944, 0.07168790698051453, -0.3083570897579193, -0.20144231617450714, -0.1944500058889389, -0.01848483458161354, 0.06307206302881241, -0.13845281302928925, 0.08728669583797455, -0.09647392481565475, 0.01727212406694889, -0.0485517792403698, 0.04317639768123627, -0.017407575622200966, -0.11967886984348297, 0.029379813000559807, -0.06358276307582855, 0.07150214910507202, -0.016065502539277077, -0.037556663155555725, -0.05592471361160278, -0.03393520787358284, -0.8680346012115479, -0.08294123411178589, 0.2019757628440857, 0.16824853420257568, -0.06784328073263168, 0.058348897844552994, 0.007082659285515547, 0.0021285468246787786, -0.1613973081111908, -0.07279402017593384, 0.08765359222888947, -0.1457074135541916, 0.15233027935028076, 0.005516025237739086, -0.10421347618103027, -0.006949271075427532, -0.08124497532844543, 0.00788141880184412, -0.0033340624067932367, 0.017501242458820343, 0.09724225103855133, -0.0899730920791626, -0.09742285311222076]"
"A once-wealthy family loses everything in a financial crisis. The story follows their struggle to survive, rebuild their lives, and rediscover what truly matters in the face of adversity.","[-0.005672616418451071, 0.17610156536102295, -0.05807100608944893, 0.028383368626236916, -0.0014970818301662803, -0.10668244957923889, -0.0318453311920166, 0.03914466127753258, 0.026310361921787262, 2.5285520553588867, -0.23525865375995636, -0.025815296918153763, 0.01592637039721012, 0.03345252946019173, -0.06855257600545883, 0.02500608004629612, -0.04501114785671234, 0.8787974715232849, -0.13831549882888794, 0.06646665185689926, -0.038649749010801315, -0.1279558688402176, 0.012625002302229404, -0.00416589668020606, 0.09994218498468399, 0.04759659990668297, 0.026562988758087158, 0.07350126653909683, -0.0924205631017685, -0.005923681426793337, -0.05040765553712845, 0.069587342441082, -0.15909098088741302, -0.0014417999191209674, 0.22082304954528809, -0.007865340448915958, 0.12634575366973877, -0.00783541053533554, -0.04888051748275757, -0.0226002037525177, 0.014392443932592869, 0.036052048206329346, 0.0565885491669178, -0.07924477756023407, -0.010356459766626358, -0.04164736717939377, -0.09940624982118607, 0.027405861765146255, 0.04153309389948845, 0.04445970803499222, -0.019000714644789696, 0.03472274914383888, -0.05815853923559189, -0.021296430379152298, 0.02572076953947544, 0.09824953228235245, -0.03468131646513939, -0.012679720297455788, 0.11615519970655441, -0.09429925680160522, 0.04792429506778717, 0.031116414815187454, -0.06332596391439438, 0.04398483410477638, 0.07484577596187592, -0.08901189267635345, -0.03519443795084953, 0.064449742436409, 0.0777597650885582, 0.12053956836462021, -0.001452924101613462, 0.05263973027467728, 0.029406657442450523, 0.0536973662674427, -0.03261059522628784, 0.12104057520627975, 0.0838659256696701, -0.114065021276474, -0.023270748555660248, 0.020515257492661476, -0.030707627534866333, 0.11802656948566437, -0.09595686942338943, -0.0556412972509861, -0.0035238321870565414, -0.14593563973903656, -0.17563046514987946, -0.1726437360048294, 0.1391531527042389, 0.09737979620695114, -0.21259649097919464, 0.13323228061199188, -0.07655104249715805, 0.07652589678764343, 0.10252843797206879, 0.0187446940690279, -0.10748711228370667, -0.10267680883407593, -0.03184729814529419, -0.032048966735601425, 0.026340845972299576, 0.028926290571689606, -0.06239546462893486, -0.13881003856658936, 0.0283427145332098, -0.7700753211975098, 0.04336950555443764, 0.11822282522916794, 0.06911209225654602, -0.0351061150431633, 0.08238928765058517, -0.04046672210097313, 0.02793733961880207, -0.16558463871479034, -0.07408475875854492, -0.07051493227481842, -0.02247759699821472, 0.010557546280324459, -0.010445154272019863, -0.0696440190076828, -0.009671767242252827, -0.0928095132112503, -0.026453444734215736, 0.05163179337978363, 0.0665406659245491, 0.025572622194886208, -0.04290098324418068, -0.08119478076696396]"
"A detective and his partner race against time to catch a serial killer who leaves cryptic clues at each crime scene. The case becomes personal as the killer taunts them, testing their resolve.","[-0.03601102530956268, 0.09921735525131226, -0.18002136051654816, 0.006301639601588249, 0.05623402073979378, -0.0589974969625473, -0.007636737544089556, -0.08292350172996521, -0.006930613424628973, 2.336249589920044, -0.11161540448665619, -0.03528852015733719, 0.06292995810508728, -0.05779040604829788, -0.048575181514024734, -0.038859084248542786, -0.02176854759454727, 0.8888685703277588, -0.08395496755838394, -0.1097801998257637, -0.0010265824384987354, -0.07715070992708206, -0.03503267094492912, -0.0380508154630661, 0.08397094160318375, 0.052002329379320145, 0.035062238574028015, -0.031939879059791565, 0.08093384653329849, -0.06407979130744934, -0.035389162600040436, 0.02026873640716076, -0.10124707221984863, 0.07739569991827011, 0.1417361944913864, -0.09540044516324997, 0.023735757917165756, 0.04371202364563942, -0.023398585617542267, -0.14596235752105713, 0.06696999818086624, -0.03614877909421921, 0.09484697133302689, -0.158064067363739, 0.09898602962493896, -0.00136026821564883, -0.07695911824703217, 0.07203011959791183, -0.04552266746759415, 0.0406813770532608, 0.06513703614473343, 0.01875966787338257, -0.05176499858498573, 0.05862497538328171, -0.1291143298149109, 0.12447451055049896, -0.028236111626029015, 0.02835667133331299, -0.010302717797458172, -0.019593296572566032, 0.036386534571647644, 0.0915846973657608, -0.009200867265462875, 0.08863769471645355, 0.050993725657463074, -0.07230730354785919, -0.04238748550415039, 0.03445924445986748, 0.03567956015467644, 0.07802481949329376, 0.004237393848598003, 0.024099839851260185, 0.14432598650455475, 0.01878594607114792, -0.10796304792165756, -0.07158733159303665, 0.1272851675748825, -0.27584168314933777, 0.011375335976481438, 0.08565858751535416, -0.03382110595703125, -0.045266538858413696, -0.08473992347717285, -0.12828126549720764, 0.02805936336517334, -0.11929620802402496, -0.025699254125356674, -0.09380563348531723, 0.15203499794006348, 0.03638294339179993, -0.09524516761302948, 0.14054147899150848, 0.022634468972682953, 0.03624697029590607, -0.002781533170491457, -0.16331814229488373, -0.03273063153028488, 0.0012225699611008167, -0.0058334143832325935, -0.002784548094496131, -0.01951088011264801, 0.02247544750571251, 0.07571649551391602, -0.1768096685409546, 0.03835638239979744, -0.8252238035202026, 0.07839208841323853, 0.1230434849858284, 0.053114257752895355, 0.05221521481871605, 0.08322110772132874, 0.07942838966846466, 0.06514906138181686, 0.0567733570933342, -0.021798336878418922, 0.019451044499874115, 0.03361527621746063, 0.017102554440498352, 0.06466620415449142, 0.019245654344558716, 0.0309914480894804, -0.1066296398639679, -0.027570996433496475, -0.15405181050300598, -0.04387269169092178, 0.15684503316879272, -0.038962338119745255, 0.008291107602417469]"
"A young prince must navigate a treacherous court full of intrigue and betrayal to claim his rightful place on the throne. Along the way, he learns harsh lessons about power, loyalty, and sacrifice.","[-0.011871528811752796, 0.1304846853017807, -0.03998566046357155, 0.012806103564798832, 0.019571473821997643, -0.04464342072606087, 0.009117948822677135, 0.008480480872094631, 0.011703720316290855, 2.3355789184570312, -0.11512037366628647, 0.05192679166793823, -0.0427040234208107, 0.024143323302268982, -0.221757709980011, -0.030213559046387672, -0.07971193641424179, 0.7657178044319153, -0.1335022896528244, 0.05891459062695503, 0.013022629544138908, -0.10725898295640945, -0.052873529493808746, -0.007639262825250626, 0.08962026983499527, -0.010798214003443718, 0.06509073823690414, 0.029970040544867516, -0.03447561711072922, 0.042141031473875046, -0.03378023952245712, 0.08462793380022049, -0.12141738086938858, 0.07637001574039459, 0.13384099304676056, -0.12402022629976273, -0.01223128754645586, -0.02477121725678444, -0.0031031863763928413, -0.09915803372859955, -0.014786160551011562, 0.02768867276608944, 0.10378178209066391, -0.10802028328180313, 0.11129795759916306, -0.01879453845322132, -0.1189311072230339, 0.09108251333236694, 0.006928219459950924, -0.037684738636016846, -0.005840076133608818, 0.1328829526901245, -0.02235056273639202, 0.081854447722435, 0.009390532039105892, 0.13411805033683777, 0.012295683845877647, 0.04268350452184677, -0.032860640436410904, -0.09545369446277618, 0.04249592870473862, 0.10343951731920242, 0.014822106808423996, 0.04224013164639473, 0.028946813195943832, 0.09385150671005249, -0.03356010839343071, 0.037167858332395554, 0.03376826271414757, 0.06611829996109009, -0.0661102905869484, -0.024912292137742043, 0.04070420563220978, -0.031083203852176666, -0.021498238667845726, -0.030747046694159508, 0.06095224246382713, -0.0670790895819664, -0.044966597110033035, 0.029344215989112854, -0.08089923113584518, 0.05226071551442146, -0.1041676476597786, -0.027178484946489334, 0.05085389316082001, -0.12668733298778534, -0.07478179782629013, -0.126221165060997, 0.15493960678577423, 0.0694122239947319, -0.09889435768127441, -0.016775337979197502, -0.007243644446134567, 0.06293939799070358, 0.10160717368125916, -0.038570892065763474, -0.0728921964764595, -0.06052915006875992, -0.09964810311794281, 0.016572460532188416, 0.07700973004102707, -0.009713558480143547, -0.07882773876190186, -0.08069423586130142, -0.0036797900684177876, -0.833507239818573, -0.01000313088297844, 0.1425846815109253, 0.16765962541103363, -0.0559699647128582, 0.051022231578826904, -0.012102281674742699, 0.11479504406452179, -0.1187596544623375, -0.06842460483312607, -0.004663408268243074, 0.020023023709654808, -0.08787797391414642, -0.03542964905500412, -0.03411966189742088, 0.06853652745485306, -0.09057106822729111, -0.05961369723081589, 0.0850943922996521, -0.005635366775095463, 0.0814352035522461, -0.12263252586126328, -0.08619307726621628]"
"In a city ruled by corrupt politicians, an idealistic journalist uncovers a conspiracy that could change the course of history. The danger escalates as she becomes a target for those in power.","[-0.024786371737718582, 0.042744047939777374, -0.007323946338146925, 0.03705098107457161, 0.006947945337742567, -0.02250666916370392, -0.06858757883310318, -0.024905459955334663, -0.04141056537628174, 2.4400970935821533, -0.16918642818927765, 0.0007953456370159984, -0.031362466514110565, -0.012173420749604702, -0.12359421700239182, -0.13431772589683533, -0.06008336320519447, 0.8459484577178955, -0.0752914622426033, -0.10248661786317825, -0.022084031254053116, -0.17216064035892487, -0.08839817345142365, 0.000963290804065764, 0.139223113656044, 0.0012631696881726384, -0.04676720127463341, 0.05913790315389633, 0.009434451349079609, -0.0046040951274335384, -0.05292299762368202, 0.13309252262115479, -0.07694349437952042, 0.055455051362514496, 0.2377648800611496, -0.08443447202444077, 0.02359597012400627, -0.03271583467721939, -0.010578340850770473, -0.0867183580994606, 0.12136196345090866, 0.12951791286468506, 0.05366683006286621, -0.17049984633922577, 0.02006145566701889, -0.09293833374977112, -0.1114565059542656, -0.019025404006242752, -0.04899602755904198, -0.07475737482309341, -0.017312107607722282, 0.1280040740966797, -0.06331491470336914, 0.07157744467258453, 0.02395516447722912, 0.015158225782215595, 0.06126905232667923, -0.011463060975074768, 0.09528764337301254, -0.11056006699800491, -0.05083058029413223, 0.07259513437747955, -0.03048877976834774, 0.06908784061670303, 0.04625479876995087, -0.05920986458659172, -0.0354890339076519, 0.0059279147535562515, -0.014857941307127476, 0.05336788669228554, 0.003529338864609599, -0.03279015049338341, 0.07765301316976547, -0.044320374727249146, 0.010560974478721619, -0.09479335695505142, -0.04456672444939613, -0.07055569440126419, -0.08396939933300018, 0.16872520744800568, -0.1259443312883377, -0.01526209618896246, -0.08996881544589996, -0.03986578434705734, -0.009295979514718056, -0.1480872631072998, -0.17905382812023163, -0.23998287320137024, 0.11331988871097565, 0.054826200008392334, -0.09365610778331757, 0.12012816965579987, -0.0292170662432909, 0.057053301483392715, 0.018323279917240143, -0.09221740067005157, -0.06162502244114876, 0.0213492289185524, -0.008721700869500637, -0.07942656427621841, 0.008624736219644547, 0.06446322053670883, -0.0458083413541317, -0.08374517410993576, 0.11745011806488037, -0.9311671853065491, -0.0636579841375351, 0.08698729425668716, 0.0667189285159111, 0.052655238658189774, 0.00601561414077878, -0.03164496272802353, -0.01124449074268341, -0.06929392367601395, -0.1186320036649704, 0.03144746646285057, -0.10097016394138336, 0.04109251871705055, -0.05750333145260811, -0.09118762612342834, -0.039675530046224594, -0.09045042097568512, -0.06999091058969498, -0.03394092991948128, -0.00841445755213499, 0.05469226464629173, -0.024012144654989243, -0.1285279095172882]"
"A soldier returns home after a long deployment, only to find that his small town has changed in ways he never expected. As he adjusts to civilian life, he uncovers long-hidden secrets from his past.","[0.06050240620970726, 0.24883314967155457, -0.10090010613203049, 0.0015718035865575075, 0.08543660491704941, -0.019321510568261147, -0.10110170394182205, -0.10536310076713562, 0.009807955473661423, 2.515184164047241, -0.18026103079319, 0.065528005361557, -0.03572171553969383, -0.0575406439602375, -0.13731765747070312, 0.001266689971089363, -0.009415028616786003, 0.9341806769371033, -0.08573751151561737, -0.06669635325670242, 0.0018605473451316357, -0.07414387166500092, -0.06390807032585144, -0.036359578371047974, 0.04029935225844383, 0.009303683415055275, -0.01956281065940857, -0.04011806473135948, -0.017899319529533386, 0.028260676190257072, -0.0888357013463974, 0.025600403547286987, -0.16496936976909637, 0.009089953266084194, 0.12410267442464828, -0.12420324236154556, 0.07952124625444412, 0.03671858459711075, 0.020193783566355705, -0.059222511947155, 0.06033490225672722, 0.0022569720167666674, 0.19889484345912933, -0.14102201163768768, 0.033168237656354904, 0.10008329153060913, -0.09487927705049515, -0.04188419133424759, 0.007779179606586695, 0.017007751390337944, -0.03618951141834259, -0.021122170612215996, -0.11802244186401367, 0.07624953240156174, 0.03831234946846962, 0.13096706569194794, 0.0884670689702034, -0.05333706736564636, 0.1517380326986313, -0.09425409883260727, 0.03315315395593643, -0.020475298166275024, 0.021381929516792297, 0.15976284444332123, 0.10552271455526352, -0.06532518565654755, -0.06837181001901627, 0.05416914448142052, -0.0020570980850607157, 0.1500227451324463, -0.03651787340641022, 0.011323590762913227, 0.05084436759352684, -0.02172725461423397, -0.02650536224246025, -0.02521415241062641, 0.11810425668954849, -0.12351535260677338, -0.1059703677892685, 0.1426752358675003, -0.013893121853470802, 0.07699935883283615, -0.14200599491596222, 0.005885233636945486, -0.0075951567851006985, -0.15672723948955536, -0.048182401806116104, -0.15153001248836517, 0.2390054613351822, 0.055309899151325226, -0.0524715855717659, 0.04925771430134773, -0.09106655418872833, -0.019040152430534363, 0.03341136500239372, -0.07837922126054764, -0.007639874238520861, -0.05880871042609215, -0.05929268151521683, -0.08896104246377945, -0.012329607270658016, 0.12755455076694489, -0.038149915635585785, -0.03136879578232765, -0.006809663493186235, -0.7446050643920898, 0.03995570167899132, 0.09694679826498032, 0.05878746137022972, 0.002800932852551341, 0.06306500732898712, -0.0016906814416870475, 0.022526388987898827, -0.030573761090636253, -0.0326254703104496, 0.05309685319662094, 0.04294417425990105, 0.01115300040692091, -0.0014864708064123988, -0.058509960770606995, 0.038307514041662216, -0.036020297557115555, 0.03521639481186867, 0.04829314351081848, -0.020052416250109673, -0.011887729167938232, -0.0824165940284729, -0.1006806269288063]"
"A young girl is trapped in a time loop, reliving the same day over and over. As she struggles to break free, she discovers that the key to escaping lies within her own choices and actions.","[0.06865260750055313, 0.15068915486335754, -0.12432155758142471, 0.041475243866443634, 0.08129975199699402, -0.02021353505551815, -0.0759567990899086, -0.05458351969718933, 0.04393596947193146, 2.4349069595336914, -0.14773717522621155, 0.06501750648021698, -0.03161550313234329, -0.08098872005939484, -0.07807595282793045, -0.021720534190535545, -0.03987697511911392, 0.9986211657524109, -0.15878638625144958, -0.010621427558362484, -0.010206456296145916, -0.08749586343765259, -0.1190054640173912, -0.015781041234731674, 0.05924401804804802, 0.059148918837308884, 0.01748858578503132, -0.045092981308698654, -0.0024069552309811115, -0.04177927225828171, -0.041177310049533844, 0.05713125318288803, -0.1129663735628128, 0.02007325179874897, 0.22233963012695312, -0.12015323340892792, 0.0659235343337059, -0.0016861341428011656, -0.02375034987926483, -0.08311785757541656, 0.08039182424545288, 0.027278084307909012, 0.007441745139658451, -0.1119956523180008, -0.017869148403406143, 0.038400597870349884, -0.12907013297080994, -0.0050746058113873005, -0.029898598790168762, -0.037482850253582, -0.02488737180829048, 0.016006695106625557, -0.13519184291362762, 0.03063696064054966, 0.04804954677820206, 0.08808914572000504, 0.008026154711842537, -0.008714372292160988, 0.06500653922557831, -0.057599373161792755, 0.09897854179143906, 0.010783320292830467, -0.032607246190309525, 0.033888839185237885, 0.04311610013246536, -0.08043166995048523, -0.03788965195417404, 0.09880410134792328, 0.06253141909837723, 0.11508946120738983, -0.02706526592373848, 0.0379595048725605, 0.12537804245948792, -0.007596604526042938, 0.0297175794839859, 0.012566027231514454, 0.07781082391738892, -0.11556713283061981, -0.07355546206235886, 0.037236422300338745, 0.004626864101737738, 0.08251985907554626, -0.21256248652935028, -0.05318944528698921, 0.051591675728559494, -0.1318410336971283, 0.010300968773663044, -0.03412070870399475, 0.1674843728542328, 0.12389761209487915, -0.14765720069408417, 0.10566739737987518, -0.02866331860423088, 0.009654338471591473, 0.02437654323875904, -0.02728632092475891, -0.0581691637635231, -0.010779318399727345, -0.0594034306704998, -0.09001384675502777, 0.09714137762784958, 0.06453187763690948, -0.08874690532684326, -0.1396903097629547, 0.03744765371084213, -0.7606889605522156, 0.013271009549498558, 0.09621533006429672, 0.03723903372883797, -0.02251267060637474, 0.0768234133720398, -0.055007267743349075, 0.013734163716435432, -0.07067950814962387, -0.020526688545942307, -0.07889928668737411, -0.008469825610518456, 0.13073256611824036, 0.024458754807710648, 0.018323015421628952, 0.04048093408346176, -0.13055047392845154, 0.003526700660586357, 0.011461950838565826, -0.022226927801966667, 0.07465652376413345, -0.09972845762968063, -0.07185819745063782]"
"An old man tells the story of his life, full of adventure, heartbreak, and triumph. His memories take him on a journey through time, as he reflects on the moments that shaped who he became.","[0.10225632041692734, 0.22224049270153046, -0.08509024977684021, -0.029197733849287033, 0.05499488115310669, 0.05930154398083687, -0.08215268701314926, -0.07121018320322037, -0.011722116731107235, 2.5728585720062256, -0.1197979524731636, 0.1014939546585083, -0.0034447007346898317, -0.032496921718120575, -0.12124661356210709, -0.01866661198437214, -0.033969953656196594, 0.8358532786369324, -0.11971154063940048, 0.008450837805867195, 0.014880099333822727, -0.10002996027469635, -0.04627946391701698, -0.016499025747179985, 0.1145065501332283, 0.018583863973617554, 0.10163523256778717, 0.009511763229966164, -0.03731853514909744, 0.09019964933395386, -0.059292472898960114, 0.028411703184247017, -0.2037741243839264, 0.11920549720525742, 0.10414720326662064, -0.08752328902482986, -0.015437877736985683, -0.021959668025374413, -0.03788047283887863, 0.004655218683183193, 0.024415507912635803, 0.03327314928174019, 0.031225737184286118, -0.10451588034629822, 0.08002089709043503, 0.008580311201512814, -0.1324102282524109, -0.01911795511841774, 0.07542137056589127, 0.00967100914567709, 0.028636761009693146, -5.926409721723758e-05, -0.04675320163369179, 0.05082631856203079, -0.025313725695014, 0.14637869596481323, 0.007686039432883263, 0.0208587609231472, 0.0571596622467041, -0.11811953037977219, 0.02125879004597664, 0.05977408587932587, -0.0016656466759741306, 0.1740080714225769, -0.05628019571304321, -0.08433160930871964, 0.04177214577794075, 0.03444141522049904, -0.0010593824554234743, 0.20127081871032715, 0.012734035030007362, -0.06647321581840515, 0.018604060634970665, 0.002844268223270774, -0.05645332857966423, 0.028617490082979202, 0.08782214671373367, -0.061979539692401886, -0.07303439825773239, 0.1325550526380539, -0.012129459530115128, 0.10687804967164993, -0.10771451145410538, 0.005105890799313784, 0.058536041527986526, -0.3017575144767761, -0.12529948353767395, -0.14190931618213654, 0.19757035374641418, 0.07479798793792725, -0.13735291361808777, 0.007881123572587967, -0.0545973964035511, 0.047589175403118134, 0.05872531607747078, -0.12262309342622757, -0.05094088986515999, -0.07145118713378906, -0.14456509053707123, -0.10157062858343124, 0.07573481649160385, -0.003765764646232128, -0.13608862459659576, -0.164800763130188, -0.03497926890850067, -0.555311918258667, 0.0069241574965417385, 0.18054358661174774, 0.20132185518741608, -0.048102132976055145, 0.045059237629175186, -0.015661515295505524, 0.015219592489302158, -0.16209271550178528, -0.03111054189503193, -0.10690227150917053, -0.018726486712694168, 0.07639963179826736, 0.09265422821044922, -0.037018030881881714, 0.09225844591856003, -0.057580411434173584, -0.0065538957715034485, 0.1282547563314438, 0.02893124520778656, 0.11205882579088211, -0.1109640970826149, -0.10197021067142487]"
"A woman’s life is turned upside down when she receives a letter from her estranged mother, inviting her to a family reunion. The journey forces her to confront her past and come to terms with old wounds.","[0.0850815400481224, 0.13470883667469025, -0.13768349587917328, 0.1602969765663147, 0.10835270583629608, -0.11164590716362, -0.017183031886816025, -0.15113429725170135, 0.0030310023576021194, 2.619304656982422, -0.16678465902805328, 0.11263405531644821, -0.03457896411418915, -0.10105520486831665, -0.15072880685329437, -0.04054243862628937, -0.07856890559196472, 0.8048365712165833, -0.13822942972183228, 0.0070223393850028515, 0.011045008897781372, -0.08034123480319977, -0.1458660066127777, 0.06407789140939713, 0.11103040724992752, 0.09743959456682205, 0.022991228848695755, -0.03847038745880127, -0.08808840066194534, -0.0831742137670517, -0.035156071186065674, 0.10705722123384476, -0.10025248676538467, 0.03489726781845093, 0.20152337849140167, -0.12353499233722687, 0.08301844447851181, -0.06483899056911469, 0.05453759804368019, -0.1906171292066574, 0.11709855496883392, 0.009213168174028397, 0.05673300847411156, -0.1652987003326416, 0.010119330137968063, 0.06108797341585159, -0.14407168328762054, -0.1095745712518692, 0.023595839738845825, 0.014444169588387012, -0.08145331591367722, 0.017765220254659653, -0.12582942843437195, -0.030138125643134117, 0.029362555593252182, 0.1154676303267479, -0.05555247515439987, 0.04979754611849785, -0.01847890391945839, -0.0290256105363369, 0.06275077164173126, 0.022480705752968788, 0.05758466199040413, 0.03225206956267357, -1.9431841792538762e-05, -0.016805991530418396, -0.04448489472270012, 0.10073723644018173, 0.12131574749946594, 0.20615606009960175, -0.06605279445648193, -0.000685802660882473, 0.011514205485582352, -0.01951797492802143, 0.002296636113896966, 0.06396621465682983, 0.10854727029800415, -0.15575166046619415, -0.11117023229598999, -0.043191224336624146, 0.012740075588226318, 0.07719086855649948, -0.22913700342178345, 0.027365006506443024, 0.026898307725787163, -0.21163460612297058, -0.005488412920385599, -0.11321171373128891, 0.21645039319992065, 0.07793564349412918, -0.2013731449842453, 0.10919587314128876, -0.01743711531162262, -0.019143380224704742, -0.048554256558418274, -0.015761220827698708, -0.004816728178411722, -0.02764623425900936, -0.05280216783285141, -0.09088665246963501, 0.05396879091858864, 0.07415692508220673, -0.013761976733803749, -0.20906497538089752, -0.0680575966835022, -0.6629656553268433, 0.011646467261016369, 0.1372939944267273, 0.06138982996344566, -0.04553596302866936, 0.025393730029463768, 0.05588442459702492, 0.07686644792556763, -0.023134581744670868, -0.021849950775504112, -0.07628921419382095, 0.0066322581842541695, 0.05688721314072609, 0.16787590086460114, 0.08538883924484253, 0.041330013424158096, -0.04976354166865349, 0.015955911949276924, 0.00859722588211298, 0.0071458760648965836, 0.10884775966405869, -0.07755745947360992, -0.08338680863380432]"
"In a world where dreams can be manipulated, a group of dream hunters must navigate a dangerous landscape to capture elusive dreams for wealthy clients. But one hunter has plans of her own.","[0.030914701521396637, 0.06739622354507446, -0.14578139781951904, -0.03574966639280319, 0.05533355474472046, -0.012128748930990696, -0.012558503076434135, -0.009277152828872204, -0.05021321401000023, 2.3791885375976562, -0.2580493688583374, 0.012461859732866287, -0.08084496855735779, 1.1226783499296289e-05, -0.035531140863895416, -0.09571166336536407, -0.02608220838010311, 1.05441415309906, -0.1210561990737915, 0.0008963278960436583, -0.02033326029777527, -0.11804492026567459, -0.15292344987392426, -0.03431914001703262, -0.005644071381539106, 0.08572704344987869, 0.10214202851057053, -0.00572288827970624, -0.0018018265254795551, 0.04899923875927925, 0.003027142956852913, -0.009207308292388916, -0.08018762618303299, 0.06893756240606308, 0.15801739692687988, -0.12337616086006165, 0.11759962141513824, -0.031052401289343834, -0.05738372355699539, -0.1104002371430397, 0.04006302356719971, 0.060404036194086075, 0.07719750702381134, -0.1184118464589119, 0.0045516956597566605, -0.0641622394323349, -0.07436956465244293, -0.0352102555334568, 0.045963287353515625, 0.019660688936710358, -0.1017695963382721, 0.03567052632570267, -0.10898113250732422, 0.032670628279447556, 0.0576511025428772, 0.0730019137263298, -0.025856105610728264, 0.07043769210577011, 0.08887974172830582, -0.04105130583047867, 0.006039770785719156, 0.05524318665266037, -0.04897921904921532, 0.13514405488967896, 0.021051138639450073, 0.0032815299928188324, 0.004369877278804779, 0.04999309778213501, -0.035488203167915344, 0.055882055312395096, 0.01566252112388611, -0.021111972630023956, 0.059340424835681915, 0.013560600578784943, -0.017789112403988838, -0.049891628324985504, -0.017424680292606354, -0.08939699828624725, -0.04740162193775177, 0.13330207765102386, -0.15140509605407715, 0.03761518746614456, -0.16834011673927307, 0.007586723193526268, 0.019383780658245087, -0.12913046777248383, -0.14656962454319, 0.05488354712724686, 0.22832298278808594, 0.012558205053210258, -0.16989608108997345, 0.09952975064516068, -0.05514528974890709, 0.035017888993024826, -0.028084125369787216, 0.006700547877699137, -0.04665319249033928, -0.007520081475377083, -0.08022613823413849, 0.041978467255830765, 0.008372638374567032, 0.07443535327911377, -0.03481098264455795, -0.11034689098596573, 0.0527338907122612, -0.8686119914054871, 0.05796625837683678, 0.06125635653734207, 0.034041743725538254, 0.0685020387172699, 0.16247914731502533, -0.047767750918865204, 0.09079937636852264, -0.14226222038269043, -0.04182624816894531, 0.06619682908058167, 0.025264304131269455, 0.1501966118812561, 0.02820739522576332, -0.02099091187119484, 0.05233432352542877, -0.060632213950157166, 0.041597865521907806, -0.03930680453777313, 0.144944429397583, 0.039985109120607376, -0.030059026554226875, -0.11800038814544678]"
